stress_MPa,vT_m_s
36.031772,3119.5355
36.031799,3119.5171
36.032834,3119.5227
36.040701,3119.4381
36.041294,3119.4088
36.048814,3119.5819
36.055319,3119.4865
36.057897,3119.531
36.072364,3119.49
36.073153,3119.5316
36.074515,3119.4648
36.079285,3119.4214
36.082444,3119.4108
36.084224,3119.4241
36.09625,3119.3372
36.105475,3119.4091
36.107012,3119.37
36.112274,3119.3542
36.11438,3119.4423
36.115609,3119.3943
36.116475,3119.2944
36.116555,3119.3208
36.120592,3119.3725
36.126219,3119.3247
36.135486,3119.2961
36.142443,3119.3599
36.143149,3119.3283
36.148076,3119.2568
