extension_nm,force_pN
-7.0133262,1.9498754
-6.4148331,1.9520746
-6.2401729,1.9495568
-6.0234442,1.951509
-6.0552545,1.951496
-5.8292384,1.9496646
-5.9065208,1.9455631
-6.1566052,1.9500327
-6.4914055,1.9459947
-6.6671014,1.9483424
-7.1913295,1.9505796
-7.5865541,1.9510198
-7.7814116,1.9504471
-8.1257286,1.9469587
-8.5277195,1.9480647
-8.5258837,1.9492579
-8.5136051,1.9513366
-8.5793543,1.9505428
-8.5246477,1.9453096
-8.7481022,1.9456724
-9.0935841,1.9506561
-9.2704802,1.9510189
-9.1982698,1.9491953
-9.1808786,1.9484831
-9.2665129,1.9509176
-9.5755367,1.9474605
-9.5368032,1.9494179
-9.801405,1.9518894
-9.8132677,1.9519733
-10.049155,1.9465342
-10.122785,1.9464009
-10.17061,1.9488392
-10.634832,1.949983
-11.142596,1.9493462
-11.202422,1.9513947
-11.190139,1.9469918
-11.006869,1.950052
-10.77506,1.9499379
-10.950872,1.9474477
-11.027596,1.9521189
-10.818065,1.9517567
-11.04791,1.9514003
-11.109263,1.9511718
-11.045589,1.950587
-10.951363,1.948566
-11.067621,1.951216
-10.871926,1.9505999
-11.336203,1.9475112
-11.331059,1.9495633
-11.328525,1.946242
-11.523839,1.9450295
-11.54859,1.9485853
-11.684872,1.9507453
-11.692994,1.950866
-11.947865,1.9503512
-12.086293,1.9492772
-12.358579,1.9479305
-12.632912,1.9519346
-12.635662,1.9527936
-12.505204,1.9479424
-12.207075,1.9486358
-12.427161,1.9477208
-12.571398,1.9508983
-12.839602,1.9510511
-12.709717,1.9507132
-12.476638,1.9504783
-12.497792,1.9464707
-12.26801,1.9508919
-12.680674,1.9497032
-12.921757,1.9491694
-12.771112,1.9490995
-12.483527,1.9494731
-12.145835,1.9482551
-12.24109,1.9497539
-12.496264,1.950949
-12.471921,1.9510632
-12.432631,1.9493462
-12.937549,1.9496258
-13.308681,1.9500015
-13.265856,1.9494482
-13.006998,1.9501607
-12.721471,1.9499692
-12.269263,1.947137
-12.287348,1.9478862
-12.25408,1.9487242
-12.584519,1.9514767
-12.873827,1.9489726
-12.522953,1.9475249
-12.449698,1.9503384
-12.640941,1.9475305
-12.592151,1.9490038
-12.283493,1.9483434
-12.144709,1.9482927
-12.038441,1.9522212
-12.277829,1.9457606
-11.934248,1.9461538
-12.222333,1.9496839
-11.884007,1.9497668
-11.494678,1.9507767
-11.564816,1.9507841
-11.552247,1.9516803
-11.444523,1.947569
-11.694402,1.9480702
-11.59284,1.951216
-11.86371,1.9501036
-12.134647,1.9509287
-12.694321,1.9479498
-12.869422,1.9519798
-12.636605,1.9517374
-12.651153,1.9500908
-12.426858,1.949487
-12.316102,1.9483249
-11.952729,1.9490921
-12.187142,1.9464266
-12.292585,1.9517448
-11.825468,1.9525262
-12.039746,1.9513311
-12.205444,1.9486929
-12.297699,1.9498109
-12.252843,1.9508854
-11.86128,1.9511138
-11.607258,1.9514518
-11.365276,1.9512353
-11.693456,1.9480822
-11.850412,1.9473015
-12.236747,1.9496839
-12.221978,1.949556
-12.260079,1.9473907
-12.405208,1.9512362
-12.833345,1.9481263
-12.91037,1.9490682
-13.262625,1.9475112
-13.439641,1.9507196
-13.630357,1.9481649
-13.580787,1.9496839
-13.545159,1.9501736
-13.461641,1.9508734
-13.499353,1.9484464
-13.506503,1.9507196
-13.370608,1.9473971
-13.409904,1.9478045
-13.084792,1.9499701
-13.059466,1.9500972
-13.163858,1.9512538
-13.291449,1.9487122
-13.284671,1.9498173
-13.525149,1.9464643
-13.726194,1.9475939
-13.642535,1.9536908
-13.740215,1.9473778
-13.896374,1.9496194
-13.740396,1.9468328
-13.590255,1.9500263
-13.589629,1.9515531
-13.740445,1.9518009
-13.741235,1.9510889
-13.768208,1.9489155
-13.716594,1.9480637
-13.502401,1.9514011
-13.584925,1.952705
-13.622388,1.947296
-13.708135,1.947239
-13.75586,1.9494234
-14.152011,1.9521825
-14.241637,1.9482605
-14.347126,1.9481714
-14.62292,1.9515338
-14.801791,1.950065
-14.782217,1.952647
-14.425794,1.9483885
-14.115499,1.9520295
-13.865463,1.9491372
-13.80153,1.948909
-13.710462,1.9508089
-13.572503,1.9514325
-13.456339,1.9493535
-13.518864,1.949163
-13.796002,1.95032
-13.50579,1.9508854
-13.251849,1.9473852
-13.403572,1.9473852
-13.379721,1.9484574
-13.378982,1.9501156
-13.527689,1.9472831
-13.766605,1.9492707
-13.856209,1.947422
-13.724167,1.9499002
-13.562288,1.9489661
-13.666748,1.9514196
-13.2611,1.9464891
-12.978029,1.9489726
-12.93814,1.9496839
-13.191099,1.9530489
-13.334278,1.9508909
-13.397949,1.9505668
-12.874352,1.9489275
-12.866132,1.947639
-12.730449,1.9503697
-12.816792,1.9515531
-12.765342,1.9508531
-12.660805,1.9484583
-12.647233,1.9463191
-12.616497,1.9484197
-12.618957,1.9487683
-12.746721,1.9500972
-12.745703,1.9471112
-12.694579,1.948496
-12.299027,1.951509
-11.834473,1.9490296
-11.844242,1.9481337
-11.720827,1.9504406
-11.912587,1.9506118
-11.950493,1.9514767
-12.354034,1.9515983
-12.309058,1.949995
-12.196954,1.9495817
-12.706789,1.948211
-12.604591,1.9512031
-12.651636,1.9520047
-12.377655,1.9492522
-12.586905,1.9479359
-12.629241,1.9479359
-12.540106,1.9515909
-12.651634,1.9485843
-12.353907,1.9514831
-12.108213,1.9494179
-12.050518,1.9497014
-12.280702,1.9507638
-12.507795,1.9514638
-12.569939,1.9511653
-12.185555,1.9469715
-11.74979,1.9477015
-11.414055,1.9513808
-10.978863,1.9504719
-10.607041,1.9479691
